date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-12-13,AL,Matriz de Camaragibe,city,1129,23,True,24634,2705101,4583.09653,0.0204
2020-12-13,AL,Messias,city,666,21,True,18031,2705200,3693.63873,0.0315
2020-12-13,AL,Minador do Negrão,city,95,2,True,5322,2705309,1785.04322,0.0211
2020-12-13,AL,Monteirópolis,city,135,1,True,7165,2705408,1884.15911,0.0074
2020-12-13,AL,Murici,city,453,23,True,28333,2705507,1598.84234,0.0508
2020-12-13,AL,Novo Lino,city,114,8,True,12764,2705606,893.13695,0.0702
2020-12-13,AL,Olho d'Água das Flores,city,1166,16,True,21738,2705705,5363.87892,0.0137
2020-12-13,AL,Olho d'Água do Casado,city,43,2,True,9441,2705804,455.46023,0.0465
2020-12-13,AL,Olho d'Água Grande,city,145,4,True,5128,2705903,2827.6131,0.0276
2020-12-13,AL,Olivença,city,158,3,True,11657,2706000,1355.40877,0.019
2020-12-13,AL,Ouro Branco,city,99,5,True,11535,2706109,858.25748,0.0505
2020-12-13,AL,Palestina,city,308,3,True,5037,2706208,6114.75084,0.0097
2020-12-13,AL,Palmeira dos Índios,city,2046,42,True,73337,2706307,2789.86051,0.0205
2020-12-13,AL,Pão de Açúcar,city,932,8,True,24351,2706406,3827.35822,0.0086
2020-12-13,AL,Pariconha,city,210,1,True,10539,2706422,1992.59892,0.0048
2020-12-13,AL,Paripueira,city,193,11,True,13332,2706448,1447.64476,0.057
2020-12-13,AL,Passo de Camaragibe,city,378,11,True,15258,2706505,2477.38891,0.0291
2020-12-13,AL,Paulo Jacinto,city,196,8,True,7560,2706604,2592.59259,0.0408
2020-12-13,AL,Penedo,city,1680,23,True,63846,2706703,2631.33164,0.0137
2020-12-13,AL,Piaçabuçu,city,384,14,True,17848,2706802,2151.50157,0.0365
2020-12-13,AL,Pilar,city,1507,28,True,35212,2706901,4279.79098,0.0186
2020-12-13,AL,Pindoba,city,79,1,True,2905,2707008,2719.44923,0.0127
2020-12-13,AL,Piranhas,city,301,7,True,25183,2707107,1195.25076,0.0233
2020-12-13,AL,Poço das Trincheiras,city,112,3,True,14418,2707206,776.80677,0.0268
2020-12-13,AL,Porto Calvo,city,797,18,True,27249,2707305,2924.87798,0.0226
2020-12-13,AL,Porto de Pedras,city,156,3,True,7701,2707404,2025.71095,0.0192
2020-12-13,AL,Porto Real do Colégio,city,434,8,True,20112,2707503,2157.91567,0.0184
2020-12-13,AL,Quebrangulo,city,419,4,True,11248,2707602,3725.10669,0.0095
2020-12-13,AL,Rio Largo,city,1389,67,True,75394,2707701,1842.32167,0.0482
2020-12-13,AL,Roteiro,city,160,8,True,6649,2707800,2406.3769,0.05
2020-12-13,AL,Santa Luzia do Norte,city,250,5,True,7320,2707909,3415.30055,0.02
2020-12-13,AL,Santana do Ipanema,city,2006,30,True,47819,2708006,4194.98526,0.015
2020-12-13,AL,Santana do Mundaú,city,302,6,True,10687,2708105,2825.8632,0.0199
2020-12-13,AL,São Brás,city,264,0,True,6969,2708204,3788.20491,0.0
2020-12-13,AL,São José da Laje,city,726,11,True,23996,2708303,3025.50425,0.0152
2020-12-13,AL,São José da Tapera,city,895,16,True,32405,2708402,2761.91946,0.0179
2020-12-13,AL,São Luís do Quitunde,city,871,20,True,34692,2708501,2510.66528,0.023
2020-12-13,AL,São Miguel dos Campos,city,2204,38,True,61797,2708600,3566.51617,0.0172
2020-12-13,AL,São Miguel dos Milagres,city,128,6,True,8013,2708709,1597.40422,0.0469
2020-12-13,AL,São Sebastião,city,859,17,True,34290,2708808,2505.10353,0.0198
2020-12-13,AL,Satuba,city,514,18,True,13936,2708907,3688.28932,0.035
2020-12-13,AL,Senador Rui Palmeira,city,125,4,True,13921,2708956,897.924,0.032
2020-12-13,AL,Tanque d'Arca,city,149,3,True,6138,2709004,2427.50081,0.0201
2020-12-13,AL,Taquarana,city,272,5,True,20072,2709103,1355.12156,0.0184
2020-12-13,AL,Teotônio Vilela,city,1339,37,True,44372,2709152,3017.6688,0.0276
2020-12-13,AL,Traipu,city,285,6,True,27826,2709202,1024.22195,0.0211
2020-12-13,AL,União dos Palmares,city,1046,46,True,65790,2709301,1589.90728,0.044
2020-12-13,AL,Viçosa,city,462,9,True,25693,2709400,1798.15514,0.0195
2020-12-13,BA,Abaíra,city,138,1,True,8710,2900108,1584.38576,0.0072
2020-12-13,BA,Abaré,city,145,0,True,20347,2900207,712.63577,0.0
2020-12-13,BA,Acajutiba,city,224,6,True,15187,2900306,1474.94568,0.0268
2020-12-13,BA,Adustina,city,132,4,True,17126,2900355,770.75791,0.0303
2020-12-13,BA,Água Fria,city,78,4,True,17033,2900405,457.9346,0.0513
2020-12-13,BA,Aiquara,city,326,6,True,4416,2900603,7382.24638,0.0184
2020-12-13,BA,Alagoinhas,city,6324,96,True,152327,2900702,4151.59492,0.0152
2020-12-13,BA,Alcobaça,city,844,14,True,22490,2900801,3752.77901,0.0166
2020-12-13,BA,Almadina,city,380,7,True,5366,2900900,7081.62505,0.0184
2020-12-13,BA,Amargosa,city,677,15,True,37441,2901007,1808.1782,0.0222
2020-12-13,BA,Amélia Rodrigues,city,710,14,True,25048,2901106,2834.55765,0.0197
2020-12-13,BA,América Dourada,city,290,1,True,16090,2901155,1802.36172,0.0034
2020-12-13,BA,Anagé,city,212,5,True,21607,2901205,981.16351,0.0236
2020-12-13,BA,Andaraí,city,155,0,True,13132,2901304,1180.32288,0.0
2020-12-13,BA,Andorinha,city,269,6,True,14503,2901353,1854.78866,0.0223
2020-12-13,BA,Angical,city,271,4,True,13938,2901403,1944.32487,0.0148
2020-12-13,BA,Anguera,city,122,0,True,11297,2901502,1079.93273,0.0
2020-12-13,BA,Antas,city,507,0,True,19479,2901601,2602.80302,0.0
2020-12-13,BA,Antônio Cardoso,city,120,3,True,11677,2901700,1027.66121,0.025
2020-12-13,BA,Antônio Gonçalves,city,278,1,True,11878,2901809,2340.46136,0.0036
2020-12-13,BA,Aporá,city,286,6,True,17788,2901908,1607.8255,0.021
2020-12-13,BA,Apuarema,city,473,7,True,7302,2901957,6477.67735,0.0148
2020-12-13,BA,Araçás,city,384,5,True,12208,2902054,3145.47837,0.013
2020-12-13,BA,Aracatu,city,311,5,True,13045,2902005,2384.05519,0.0161
2020-12-13,BA,Araci,city,1333,16,True,54648,2902104,2439.24755,0.012
2020-12-13,BA,Aramari,city,200,5,True,11461,2902203,1745.04843,0.025
2020-12-13,BA,Arataca,city,279,9,True,10961,2902252,2545.38819,0.0323
2020-12-13,BA,Aratuípe,city,182,6,True,8837,2902302,2059.52246,0.033
2020-12-13,BA,Aurelino Leal,city,557,12,True,11299,2902401,4929.63979,0.0215
2020-12-13,BA,Baianópolis,city,183,2,True,13929,2902500,1313.80573,0.0109
